"address","graffiti_contractors","created_at","customfld_lat","customfld_lon","group_id","hate_gang","ticket_id","loc_details","loc_name","public_description","url","responsible_party","sqft_abated","graffiti_status_primary","graffiti_status_details","status","square_footage"
"**Address:** 420 W BURNSIDE ST, Portland, OREGON 97209",NA,"2023-01-25T19:34:20Z","45.52272643109483","-122.67530614861008",8559017236631,"FALSE",43834,"**Location Details:** On the metal part of the fountain where water would come out, also on the stairs, mostly on the west side, but also on the east side. Also markings on the metal pipes up top (which could be higher than 8 ft)","**Location name:** Public fountain",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43834.json","Contractor","","Open","Awaiting info","closed",NA
"**Address:** SW 5TH AVE AND SW MONTGOMERY ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T19:34:17Z","45.51146981485","-122.68155066259",8559017236631,"FALSE",43833,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43833.json","Contractor","","Solved","Cleaned by contractor","closed","2"
"**Address:** SW 11TH AVE AND SW SALMON ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T19:33:25Z","45.51827422373","-122.68420750575",8559017236631,"FALSE",43829,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43829.json","Contractor","","Solved","Cleaned by contractor","closed","6"
"**Address:** SE SALMON ST AND SE GRAND AVE, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T19:32:55Z","45.51437476028","-122.66076320116",8559017236631,"FALSE",43828,"**Location Details:** pole","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43828.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SW 11TH AVE AND SW SALMON ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T19:32:37Z","45.51827422373","-122.68420750575",8559017236631,"FALSE",43825,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43825.json","Contractor","","Solved","Cleaned by contractor","closed","4"
"**Address:** SW BROADWAY AND SW COLLEGE ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T19:31:44Z","45.5100104244","-122.68468012735",8559017236631,"FALSE",43824,"**Location Details:** fire hydrant","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43824.json","Contractor","","Solved","Cleaned by contractor","closed","1"
"**Address:** SE SALMON ST AND SE GRAND AVE, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T19:26:28Z","45.51437476028","-122.66076320116",8559017236631,"FALSE",43817,"**Location Details:** parking meter","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43817.json","Contractor","","Solved","Cleaned by contractor","closed","2"
"**Address:** SW 5TH AVE AND SW MONTGOMERY ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T19:25:53Z","45.51146981485","-122.68155066259",8559017236631,"FALSE",43816,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43816.json","Contractor","","Solved","Cleaned by contractor","closed","8"
"**Address:** SW 12TH AVE AND SW SALMON ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T19:25:02Z","45.51855680919","-122.6852265037",8559017236631,"FALSE",43815,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43815.json","Contractor","","Solved","Cleaned by contractor","closed","4"
"**Address:** SW 12TH AVE AND SW SALMON ST, PORTLAND, OREGON","graffiti_removal_services_grs","2023-01-25T19:24:13Z","45.51855680919","-122.6852265037",8559017236631,"FALSE",43813,"NA","NA",NA,"https://portlandoregon.zendesk.com/api/v2/tickets/43813.json","Contractor","","Solved","Cleaned by contractor","closed","1"
